No,User Name,Rating Bintang,Tanggal,Ulasan Asli,Ulasan Preprocessing,Skor Sentimen,Sentimen Teks,Status Kesesuaian,Keterangan Anomali
4406,Andri Ardian,1,2026-08-10,SMS GK nongol2 anehhhhhh,sms tidak nongol2 aneh,0,Netral,MATCH,
4407,DEHAM12,5,2026-08-10,mantap,mantap,3,Positif,MATCH,
4408,Lukman Oembah,5,2026-08-10,bagus,bagus,2,Positif,MATCH,
4409,Dwy Purwanty,1,2026-08-10,selalu log out sndri .ribet bayangin hrus log in terus tiap buka,selalu login out sndri rumit bayangin hrus login in terus tiap buka,-2,Negatif,MATCH,
4410,Gio Satria,5,2026-08-10,"Bagus, puas, amanah",bagus puas amanah,5,Positif,MATCH,
4411,Heni Suprianti,5,2026-08-10,enak bgt kalau pakai aplikasi bisa ngapain anggota tanpa harus ke kantor BPJS,enak banget kalau pakai aplikasi bisa ngapain anggota tanpa harus ke kantor bpjs,0,Netral,MATCH,
4412,Endi Pratama,5,2026-08-10,Mantap,mantap,3,Positif,MATCH,
4413,Dadang Darmawan,5,2026-08-10,Bagus sangat membantu,bagus sangat membantu,5,Positif,MATCH,
4414,Nur Dolla,5,2026-08-10,mntap,mntap,0,Netral,MATCH,
4415,S Y,1,2026-08-10,"sangat keberatan jika anak yg di dftr kan hrs menunggu 45 hr kelamaan n bila rawat inap kena denda sesuai diagnosa rsu yg menentu kan bila blm melewati 45 hr 453rb , ini saya alami di rsu, mana pelayanan nya GK ramah, security persulit kluarga pasien",sangat keberatan jika anak yang di daftar kan hrs menunggu 45 hr kelamaan n bila rawat inap kena denda sesuai diagnosa rsu yang menentu kan bila belum melewati 45 hr 453rb ini saya alami di rsu mana pelayanan nya tidak ramah security persulit kluarga pasien,-1.8,Negatif,MATCH,
4416,Anicetus Vergiliano Kaman 18 129,5,2026-08-10,mantap,mantap,3,Positif,MATCH,
4417,nur yati,4,2026-08-10,"aplikasi nya sebenarnya bagus tapi kenapa saat ini saya membukanya GK bisa trus muncul tulisan untuk mengupdate padahal saya udah mengupdate nya tapi tetap aja GK bisa dibuka, kenapa iya?",aplikasi nya sebenarnya bagus tapi kenapa saat ini saya membukanya tidak bisa terus muncul tulisan untuk mengupdate padahal saya udah mengupdate nya tapi tetap aja tidak bisa dibuka kenapa iya,2,Positif,MATCH,
4418,Didik Purnomo,2,2026-08-10,lelet susah untuk login selalu gangguan aplikasi yang ribet,lambat sulit untuk login selalu gangguan aplikasi yang rumit,-7,Negatif,MATCH,
4419,Asadul Syam,5,2026-08-10,sangat membantu,sangat membantu,3,Positif,MATCH,
4420,Ugi Ramadhai,5,2026-08-10,sangat membantu sekali terima kasih..,sangat membantu sekali terima kasih,5,Positif,MATCH,
4421,Atik,1,2026-08-10,"saat proses daftar dan dimintai kode otp dari nomor telpon, tapi ga masuk masuk pesan otp nya ditungguin lama pun ga masuk. dicoba lagi pake nomor telpon yang beda tetep ga masuk otp nya. dicoba di hari lain tetep gabisa. diperbaiki lagi deh, sekelas aplikasi pemerintah jelek gini.",saat proses daftar dan dimintai kode otp dari nomor telpon tapi tidak masuk masuk pesan otp nya ditungguin lama pun tidak masuk dicoba lagi pake nomor telpon yang beda tetep tidak masuk otp nya dicoba di hari lain tetep tidak bisa diperbaiki lagi deh sekelas aplikasi pemerintah buruk gini,-5,Negatif,MATCH,
4422,Toya Pw,1,2026-08-10,"aplikasi eror, pembayaran sudah sukses tapi diaplikasi masih belum terbayar aneh",aplikasi error pembayaran sudah sukses tapi diaplikasi masih belum terbayar aneh,-0.5,Netral,MATCH,
4423,Detro,1,2026-08-10,apk aneh,aplikasi aneh,0,Netral,MATCH,
4424,M SarGO,4,2026-08-10,"Lebih Baik Dan Baik lagi Segala Pelayanannya, baik Kelas 1 2 3 .. terlebih untuk kategori BPI Mandiri ataupun Lainnya..",lebih baik dan baik lagi segala pelayanannya baik kelas 1 2 3 terlebih untuk kategori bpi mandiri ataupun lainnya,6,Positif,MATCH,
4425,Taranip Taranip,3,2026-08-10,"aplikasi massih sering error, mohon diperbaiki lagi ya",aplikasi massih sering error mohon diperbaiki lagi ya,-2.5,Negatif,MATCH,
4426,penggemar anime,1,2026-08-10,aplikasi ora jelas tolol,aplikasi ora jelas tolol,1.5,Positif,MISMATCH_LOW_RATING,Salah klik rating / Human error (Isi ulasan berupa pujian murni)
4427,Nurkholis Tauchid,1,2026-08-10,"1. Saat LOGIN aja captcha muter2 terus gmn mau login?? 2. Saat mau ambil ANTREAN, ERROR terus kagak bisa bolo",1 saat login aja captcha muter2 terus gmn mau login 2 saat mau ambil antrean error terus kagak bisa bolo,-2.5,Negatif,MATCH,
4428,Oshii Ragawa,2,2026-08-10,"aplikasi ini cuma mempersulit kita doank, seminggu gak di buka log out sndiri. emang ngeselin. mau masuk sllu dibilang sandi slahlah, nik salah lah pdhal udh jelas2 smuanya benar. tolonglah di perbaiki! mending kalo gak buang2 pulsa trus mah kalo log in. nyusahin aja! percuma bayar BPJS tiap bulan kalo mau berobat di persulit gini.",aplikasi ini cuma mempersulit kita doank seminggu tidak di buka login out sndiri emang ngeselin mau masuk sllu dibilang sandi slahlah nik salah lah pdhal sudah jelas2 smuanya benar tolonglah di perbaiki mending kalo tidak buang2 pulsa terus mah kalo login in nyusahin aja percuma bayar bpjs tiap bulan kalo mau berobat di persulit gini,0,Netral,MATCH,
4429,Muhamad Atfan,5,2026-08-09,sangat membantu,sangat membantu,3,Positif,MATCH,
4430,Umiyati,5,2026-08-09,sangat memudahkan untuk pendsftaran,sangat memudahkan untuk pendsftaran,3,Positif,MATCH,
4431,Tri Astuti,5,2026-08-09,mudah dah cepat,mudah dah cepat,5,Positif,MATCH,
4432,ratna kusumawati,2,2026-08-09,"saat aplikasi digunakan untuk mendaftar ke faskes pertama selalu gagal,dokter tidak ditemukan,coba lagi,dll. padahal di faskes tersebut kalau tidak mendaftar online tidak dilayani,terutama yg poli gigi. Sehari mencoba berkali kali hanya untuk mendaftar online. Akhirnya terlewat beberapa hari untuk periksa gigi. semoga bisa diperbarui lagi.",saat aplikasi digunakan untuk mendaftar ke faskes pertama selalu gagal dokter tidak ditemukan coba lagi dll padahal di faskes tersebut kalau tidak mendaftar online tidak dilayani terutama yang poli gigi sehari mencoba berkali kali hanya untuk mendaftar online akhirnya terlewat beberapa hari untuk periksa gigi semoga bisa diperbarui lagi,-2.5,Negatif,MATCH,
4433,Suci Kage,1,2026-08-09,aplikasi ga jelas ngirim kode otp ga bisa bisa,aplikasi tidak jelas ngirim kode otp tidak bisa bisa,-1.35,Negatif,MATCH,
4434,rrobyad Vpi,1,2026-08-09,kenapa harus dibatasi untuk versi android tertentu. harusnya semua versi bisa download.,kenapa harus dibatasi untuk versi android tertentu harusnya semua versi bisa download,0,Netral,MATCH,
4435,Rei,1,2026-08-09,kenapa dipersulit untuk berobat wajib daftar online,kenapa dipersulit untuk berobat wajib daftar online,-3.5,Negatif,MATCH,
4436,Uchil .95,1,2026-08-09,buruk sekali apk nya bukanya mempermudah malah makin sulit,buruk sekali aplikasi nya bukanya mempermudah malah makin sulit,-5.5,Negatif,MATCH,
4437,Sely Nurfatwa,1,2026-08-09,"harus nya gak gampang log out, jadi kalo aga lama ga di buka lupa password, pas buka lupa password selalu ""belum dapat kami proses"". susah deh masuk lagi. sush mau gunakan lagi. harap di perbaiki, supaya kita jga gampang buat pake nya, jgn mlah jd gampang² susah.",harus nya tidak gampang login out jadi kalo aga lama tidak di buka lupa password pas buka lupa password selalu belum dapat kami proses sulit deh masuk lagi sush mau gunakan lagi harap di perbaiki supaya kita jga gampang buat pake nya jgn mlah jd gampang sulit,-7,Negatif,MATCH,
4438,EKO WAHYUDI,5,2026-08-09,bagus mempermuda,bagus mempermuda,2,Positif,MATCH,
4439,Anto Sigap,5,2026-08-09,sangat membantu sekali,sangat membantu sekali,3,Positif,MATCH,
4440,Wkwkwk lanjutkan etik,1,2026-08-09,ini gimn orang hp saya sudah gk bisa digunakan gimn ini,ini gimn orang hp saya sudah tidak bisa digunakan gimn ini,0,Netral,MATCH,
4441,Intantarnasari17 01,1,2026-08-09,kenapa sih kode otp harus banget pake pulsa. ga bisa dipersimple pake wa kek apa kek ah ga bisa login gegera ini. mana lupa pasword,kenapa sih kode otp harus banget pake pulsa tidak bisa dipersimple pake wa kek apa kek ah tidak bisa login gegera ini mana lupa pasword,0,Netral,MATCH,
4442,Me Me,5,2026-08-09,oke deh pokoknya,oke deh pokoknya,1.5,Positif,MATCH,
4443,Aisyah Nur,1,2026-08-09,aplikasinya tidak bisa di instal di perangkat saya padahal kalo mau priksa butuh benget aplikasi ini,aplikasinya tidak bisa di instal di perangkat saya padahal kalo mau priksa butuh benget aplikasi ini,0,Netral,MATCH,
4444,Irma Fatimah,4,2026-08-09,kenapa aplikasi jkn mobile d hp saya sekarang tdk bisa di download?bagaimana ini solusinya?,kenapa aplikasi jkn mobile d hp saya sekarang tidak bisa di download bagaimana ini solusinya,0,Netral,MATCH,
4445,Mayat,5,2026-08-09,ok,ok,1.5,Positif,MATCH,
4446,Derispa Maulana,5,2026-08-09,nice bagus,nice bagus,4,Positif,MATCH,
4447,Asep Saprudin,5,2026-08-09,Terima kasih karena dengan ini memudahkan untuk berobat kapan saja,terima kasih karena dengan ini memudahkan untuk berobat kapan saja,5,Positif,MATCH,
4448,Alan Prabana,1,2026-08-09,"aplikasi apaan, punya negara kok gini apknya",aplikasi apaan punya negara kok gini apknya,0,Netral,MATCH,
4449,dede arifin,5,2026-08-09,Cukup membantu,cukup membantu,3,Positif,MATCH,
4450,Nia Febiyanti,1,2026-08-09,"aplikasi ga berfaedah,ambil antrian suruh online tapi setiap verifikasi akun ga bisa Mulu.",aplikasi tidak berfaedah ambil antrean suruh online tapi setiap verifikasi akun tidak bisa terus,0,Netral,MATCH,
4451,Muhammad Kevin Harka Saputra,1,2026-08-09,"SMS OTP kok gk masuk? ada kendala mulu sistem nya gimana? dri dulu udh mau login tpi kode OTP gk masuk2 masalahnya kendala, sekarang coba lagi kok sama aja? sistem nya tolong diperbaiki jangan mempersulit dong",sms otp kok tidak masuk ada kendala terus sistem nya gimana dari dulu sudah mau login tpi kode otp tidak masuk2 masalahnya kendala sekarang coba lagi kok sama aja sistem nya tolong diperbaiki jangan mempersulit dong,0,Netral,MATCH,
4452,Boby Mahendra,5,2026-08-09,top,top,2.5,Positif,MATCH,
4453,Zayd Abisatya,5,2026-08-09,"sangat membantu,okbanget",sangat membantu okbanget,3,Positif,MATCH,
4454,Lilik Yuliani,1,2026-08-09,"Aplikasibtidak bisa di pakai, baru di buka langsung suruh daftar autodebet, udah daftar pas masukan kode Verifikasi malah kata aplikasi format email salah. Kan aneh. Mintanya nomer, dikasih nomer minta format email.",aplikasibtidak bisa di pakai baru di buka langsung suruh daftar autodebet udah daftar pas masukan kode verifikasi malah kata aplikasi format email salah kan aneh mintanya nomer dikasih nomer minta format email,0,Netral,MATCH,
4455,Mochammad Noer,5,2026-08-09,Kreen! Sangat terbantu! Haturnuhun Lur! jkn Terbaik memang,kreen sangat terbantu haturnuhun lur jkn terbaik memang,3,Positif,MATCH,
4456,Suko Biono,5,2026-08-09,terima kasih,terima kasih,2,Positif,MATCH,
4457,mark lee,1,2026-08-09,"error terus, sering loh out gak jelas",error terus sering loh out tidak jelas,-3.85,Negatif,MATCH,
4458,rossandi andes,5,2026-08-09,sangat membantu,sangat membantu,3,Positif,MATCH,
4459,Daus Firdaus,1,2026-08-09,"aplikasi jelek, susah banget untuk login selalu gagal padahal kuota pulsa ada.ngirim ulang kode otp aja nunggu pakai pulsa",aplikasi buruk sulit banget untuk login selalu gagal padahal kuota pulsa ada ngirim ulang kode otp aja nunggu pakai pulsa,-8,Negatif,MATCH,
4460,Anwar Afandi,5,2026-08-09,"Untuk penambahan anggota bpjs dalam satu KK mohon dipermudah, soalnya kami orang pekerja yang bisa di rumah nya hanya Sabtu-Minggu, selebihnya di kantor. terimakasih.",untuk penambahan anggota bpjs dalam satu kartu keluarga mohon dipermudah soalnya kami orang pekerja yang bisa di rumah nya hanya sabtu-minggu selebihnya di kantor terimakasih,0,Netral,MATCH,
4461,Asu Teles,5,2026-08-09,lumayan bisa membantu,lumayan bisa membantu,3,Positif,MATCH,
4462,Ely Fitriani,1,2026-08-09,"menguras emosii, tplong diperbaiki aplikasi nya ini, saya mau daftar masukin nomor hp, tapi tidak bisa",menguras emosii tplong diperbaiki aplikasi nya ini saya mau daftar masukin nomor hp tapi tidak bisa,0,Netral,MATCH,
4463,Ardi Utama,1,2026-08-09,"aplikasi busuk.. tiap kali buka harus log in, padahal gak pernah log out",aplikasi busuk tiap kali buka harus login in padahal tidak pernah login out,0,Netral,MATCH,
4464,Casini Casini,5,2026-08-09,good,good,2,Positif,MATCH,
4465,Blue ice one,1,2026-08-09,selalu gagal dalam mengubungkan applikasi pembayaran i-saku sebagai opsi pembayaran JKN di awal daftar,selalu gagal dalam mengubungkan applikasi pembayaran i-saku sebagai opsi pembayaran jkn di awal daftar,-2.5,Negatif,MATCH,
4466,Nasrullah Salim,1,2026-08-09,LOADING APLIKASI LOADING,loading aplikasi loading,0,Netral,MATCH,
4467,Hayati Nufus,5,2026-08-09,mantap,mantap,3,Positif,MATCH,
4468,Barika Afar (BARIKA AFAR),5,2026-08-09,aga Membantu,aga membantu,3,Positif,MATCH,
4469,Ikbal Ruswandi,5,2026-08-09,sangat keren,sangat keren,2.5,Positif,MATCH,
4470,Agus Wiyatno,5,2026-08-09,semudah itu menggunakan aplikasinya,semudah itu menggunakan aplikasinya,0,Netral,MATCH,
4471,Wuwu Wawa,1,2026-08-09,banyak sekali bug di aplikasi ini mau daftar registrasi aja susahnya minta ampun. tolong lebih diperbaiki lagi servernya. aplikasi tiba tiba berhenti berjalan dan semua data log out,banyak sekali bug di aplikasi ini mau daftar registrasi aja susahnya minta ampun tolong lebih diperbaiki lagi servernya aplikasi tiba tiba berhenti berjalan dan semua data login out,-2,Negatif,MATCH,
4472,Ridho Tegar,1,2026-08-09,"PAS LOGIN BUAT IBU GUWA MALAH HARUS INI ITU, BUKAN MEMPERMUDAH MALAH MEMPERSULIT PASIEN, BUAT APLIKASI SESIMPEL MUNGKIN LAH BIAR SEMUA KALANGAN BISA MUDAH MENGGUNAKAN APLIKASI YANG CACAT INI, TOLONG SEGERA DIBUAT MUDAH SU DI PERBAIKI, DI BUAT ULANG JUGA",pas login buat ibu guwa malah harus ini itu bukan mempermudah malah mempersulit pasien buat aplikasi sesimpel mungkin lah biar semua kalangan bisa mudah menggunakan aplikasi yang cacat ini tolong segera dibuat mudah su di perbaiki di buat ulang juga,5,Positif,MISMATCH_LOW_RATING,Salah klik rating / Human error (Isi ulasan berupa pujian murni)
4473,Rumah Sederhana,1,2026-08-09,"40 juta pengguna menunginstal karna aplikasi ribet pada otp sms, ribet uninstal lagi",40 juta pengguna menunginstal karena aplikasi rumit pada otp sms rumit uninstal lagi,-4,Negatif,MATCH,
4474,Allyna Ayushita,1,2026-08-09,kenapa butuh memori gede sih? udah ngehapus apapun tetep ga bisa! bahkan tugas sekolah yang penting udah tak hapus loh gara gara download ini. TOLONG YA DI BENERIN LAGI PLIS KURANGIN MB NYA BUAT DOWNLOAD,kenapa butuh memori gede sih udah ngehapus apapun tetep tidak bisa bahkan tugas sekolah yang penting udah tak hapus loh gara gara download ini tolong ya di perbaiki lagi tolong kurangin mb nya buat download,0,Netral,MATCH,
4475,Akmadi Maulana,5,2026-08-09,ok,ok,1.5,Positif,MATCH,
4476,Yopi Candra,1,2026-08-09,daftar susah sekali. aplikasi pemerintahan selalu buruk sering kali eror. vertifikasi nomor telepon tidak masuk2 di inbox pesan atau whatsapp,daftar sulit sekali aplikasi pemerintahan selalu buruk sering kali error vertifikasi nomor telepon tidak masuk2 di inbox pesan atau whatsapp,-8,Negatif,MATCH,
4477,Moh Hadi,1,2026-08-09,nomer sudah benar tapi tidak menerima kode otp sama sekali,nomer sudah benar tapi tidak menerima kode otp sama sekali,0,Netral,MATCH,
4478,Rahmat Ali,1,2026-08-09,mengecewakan,mengecewakan,0,Netral,MATCH,
4479,Aang Hapiadi,5,2026-08-09,baik untuk memfasilitasi bpjs dengan konsumen nya.,baik untuk memfasilitasi bpjs dengan konsumen nya,2,Positif,MATCH,
4480,Padila Padila,3,2026-08-09,tolong buat developer versi android turunin dong gua kesusahan buat daftar ke rumah sakit secara online mohon pengertiannya,tolong buat developer versi android turunin dong gua kesusahan buat daftar ke rumah sakit secara online mohon pengertiannya,0,Netral,MATCH,
4481,Uus Kusnandar,5,2026-08-09,sangat memudahkan,sangat memudahkan,3,Positif,MATCH,
4482,Mohamad Ziaul,5,2026-08-09,josjis,josjis,0,Netral,MATCH,
4483,Anita Wati,5,2026-08-09,mantap dan cepat,mantap dan cepat,5.5,Positif,MATCH,
4484,Willona Azzahra,1,2026-08-09,makin buruk,makin buruk,-3,Negatif,MATCH,
4485,Nurul Afifah,5,2026-08-09,sangat membantu,sangat membantu,3,Positif,MATCH,
4486,Airoon Dasya akanza,1,2026-08-09,"kalo mau ambil antrian di puskesmas masa harus buat asuransi BPJS dulu, aku mau lewat jalur umum. tapi ambil antrian nya online jadi gak bisa. coba aja ambil antrian nya bisa semua orang mau itu BPJS atau umum. yang lewat jalur umum harus daftar offline, kurang praktis soal nya. pliiss yang jalur umum bisa ambil antrian online juga dong. pilih kasih amat.",kalo mau ambil antrean di puskesmas masa harus buat asuransi bpjs dulu aku mau lewat jalur umum tapi ambil antrean nya online jadi tidak bisa coba aja ambil antrean nya bisa semua orang mau itu bpjs atau umum yang lewat jalur umum harus daftar offline kurang praktis soal nya pliiss yang jalur umum bisa ambil antrean online juga dong pilih kasih amat,-2.25,Negatif,MATCH,
4487,Pupu 06,5,2026-08-09,sangat memuaskan sekali,sangat memuaskan sekali,0,Netral,MATCH,
4488,Talibalituankotta84 Albot84,5,2026-08-09,memudahkan dan memutuskan,memudahkan dan memutuskan,3,Positif,MATCH,
4489,handi arianto,5,2026-08-09,makasih,makasih,2,Positif,MATCH,
4490,Anton Din,5,2026-08-09,praktis,praktis,2.5,Positif,MATCH,
4491,Jack Linklunk,3,2026-08-08,Aplikasi bagus pelayanan sudah mulai membaik,aplikasi bagus pelayanan sudah mulai membaik,2,Positif,MATCH,
4492,gagan daryana,1,2026-08-08,4 peserta udah update kk jadi 3 peserta sudah update kk Poto norek tetap aja bayar 4,4 peserta udah update kartu keluarga jadi 3 peserta sudah update kartu keluarga poto norek tetap aja bayar 4,0,Netral,MATCH,
4493,Maxim Susanto,5,2026-08-08,"oke mantap, sangat membantu...",oke mantap sangat membantu,7.5,Positif,MATCH,
4494,Ai Sitiwatisah,2,2026-08-08,kenapa jln of susah mau daftar online dari kemaren ya,kenapa jalan of sulit mau daftar online dari kemaren ya,-2.5,Negatif,MATCH,
4495,Arinaldi Siregar,5,2026-08-08,sangat membantu,sangat membantu,3,Positif,MATCH,
4496,irul syah reza,5,2026-08-08,Bravo,bravo,0,Netral,MATCH,
4497,Wida Apriani,3,2026-08-08,"apk ini cukup memudahkan buat pendaftaran tapi hanya untuk sebagian orang yang memiliki smartphone, untuk orang tua yang sudah sepuh tapi harus ttp berobat tentunya tidak membantu malah makin repot, apalagi mereka yg jauh dari anak untuk hal² semacam ini tuh susah, ini udh terjadi di bbrapa kerabat aku🙏🏻 trs tolong bgt ini buat org pelupa seperti saya hrs bgt di tulisin kata sandinya soalnya sering bgt ke log out sendiri, lagi antri udh mau check in pendaftaran tbtb ke log out, sedikit gaje🙏.",aplikasi ini cukup memudahkan buat pendaftaran tapi hanya untuk sebagian orang yang memiliki smartphone untuk orang tua yang sudah sepuh tapi harus ttp berobat tentunya tidak membantu malah makin repot apalagi mereka yang jauh dari anak untuk hal semacam ini tuh sulit ini sudah terjadi di bbrapa kerabat aku terus tolong banget ini buat org pelupa seperti saya hrs banget di tulisin kata sandinya soalnya sering banget ke login out sendiri lagi antri sudah mau check in pendaftaran tbtb ke login out sedikit gaje,-2.2,Negatif,MATCH,
4498,Maulana aman Dk (Aman),5,2026-08-08,oke 👍,oke,1.5,Positif,MATCH,
4499,Dwi Rubiatul,1,2026-08-08,"Apknya tidak jelas kode otp sms nya ga masuk masuk pdhl no aktif, kuota ada, sinyal bagus tolong adminn diperbaiki lagii",apknya tidak jelas kode otp sms nya tidak masuk masuk pdhl no aktif kuota ada sinyal bagus tolong adminn diperbaiki lagii,0.65,Positif,MISMATCH_LOW_RATING,Salah klik rating / Human error (Isi ulasan berupa pujian murni)
4500,Crew Thb,1,2026-08-08,"ya Allah,, berilah kemudahan kepada Hamba2 yang sedang Sakit , kenapa Aplikasinya jadi ribet gini ya?",ya allah berilah kemudahan kepada hamba2 yang sedang sakit kenapa aplikasinya jadi rumit gini ya,-2,Negatif,MATCH,
4501,Heri Fun,2,2026-08-08,ribet susah trs banyak kendala,rumit sulit terus banyak kendala,-4.5,Negatif,MATCH,
4502,Akhmad Zaeni,5,2026-08-08,siiiplah,siplah,0,Netral,MATCH,
4503,Kusworo Kusworo,4,2026-08-08,standart ok,standart ok,1.5,Positif,MATCH,
4504,Ninie Ernia,5,2026-08-08,sangat membantu,sangat membantu,3,Positif,MATCH,
4505,As Asmauun,5,2026-08-08,sangat luarbiasa,sangat luarbiasa,0,Netral,MATCH,
4506,Abrori Sari,5,2026-08-08,ok,ok,1.5,Positif,MATCH,
4507,dandi malik erlangga,1,2026-08-08,"inibginana dari dulu gapernah bisa kirim otp,udah ganti hp 3 kali gw.. sekelas aplikasi pemerintah jelek banget,gajelas",inibginana dari dulu gapernah bisa kirim otp udah ganti hp 3 kali gw sekelas aplikasi pemerintah buruk banget gajelas,-3,Negatif,MATCH,
4508,zainal abidin,5,2026-08-08,bagus,bagus,2,Positif,MATCH,
4509,abu marwan,5,2026-08-08,sangat berguna,sangat berguna,0,Netral,MATCH,
4510,imam suryadi,5,2026-08-08,okeee,oke,1.5,Positif,MATCH,
4511,CherryRess,1,2026-08-08,lah gimana mau cek keaktifan BPJS kalo minta kode verifikasi nomor telepon ga masuk-masuk.,lah gimana mau cek keaktifan bpjs kalo minta kode verifikasi nomor telepon tidak masuk-masuk,0,Netral,MATCH,
4512,Ade Rangga,1,2026-08-08,server kocak gak bisa log in mulu ke akun server eror mulu makanya dana server jga jngan d korupsi kocak,server kocak tidak bisa login in terus ke akun server error terus makanya dana server jga jngan d korupsi kocak,-2.5,Negatif,MATCH,
4513,Ade Hendri,5,2026-08-08,bagus,bagus,2,Positif,MATCH,
4514,Momo Anser,1,2026-08-08,riset sandi aja ga bisa wkwk udh 2026 masih susah apknya,riset sandi aja tidak bisa wkwk sudah 2026 masih sulit apknya,-2.5,Negatif,MATCH,
4515,Qudsjatin Ervina,5,2026-08-08,Sangat mudah dipahami,sangat mudah dipahami,2.5,Positif,MATCH,
4516,Akrom,1,2026-08-08,buruk,buruk,-3,Negatif,MATCH,
4517,Russambodo Sambodo,5,2026-08-08,mantap jkn.. semakin mudah dan lengkap,mantap jkn semakin mudah dan lengkap,5.5,Positif,MATCH,
4518,Muhammad Ashad,1,2026-08-08,"apk bobrok, gak bisa ngirim otp",aplikasi bobrok tidak bisa ngirim otp,0,Netral,MATCH,
4519,Jabal Nur,5,2026-08-08,bagus,bagus,2,Positif,MATCH,
4520,Daniel Landeoni,5,2026-08-08,Sangat menarik,sangat menarik,0,Netral,MATCH,
4521,Nash rullah,1,2026-08-08,"otpnya ga masuk masuk, ni org niat ga sih bikin aplikasi",otpnya tidak masuk masuk ni org niat tidak sih bikin aplikasi,0,Netral,MATCH,
4522,Irfan Ar Rifai,1,2026-08-08,"sudah mendaftar antrian, dan sudah mendapat jadwal , pas sesampainya di rumah sakit dokternya cuti",sudah mendaftar antrean dan sudah mendapat jadwal pas sesampainya di rumah sakit dokternya cuti,0,Netral,MATCH,
4523,Calista Zahra khoerunisa,5,2026-08-08,sangat membantu,sangat membantu,3,Positif,MATCH,
4524,Daffamy 1123,5,2026-08-08,sangat membantu,sangat membantu,3,Positif,MATCH,
4525,Abdulah Abdulah,5,2026-08-08,kenapa dihp saya nggak bisa mengakses ke mobile JKN,kenapa dihp saya tidak bisa mengakses ke mobile jkn,0,Netral,MATCH,
4526,sarmih emi,5,2026-08-08,bermanfaat dan bagus semoga sukses,bermanfaat dan bagus semoga sukses,7,Positif,MATCH,
4527,Pc방탄소년단,1,2026-08-08,"mau masuk padahal pw nya dan nik nua udah tepat tpi malah dibikon salah, kenapa sya bilang trpat krna sdh saya catat. Lalu saat sya ingin lupa pw kan harus krm no hp, eh udah lama sya tunggu gk ada sis yg masuk. tolong lah di perbaiki apk nya, susah sekali kalu mau di akses",mau masuk padahal pw nya dan nik nua udah tepat tpi malah dibikon salah kenapa sya bilang trpat krna sudah saya catat lalu saat sya ingin lupa pw kan harus krm no hp eh udah lama sya tunggu tidak ada sis yang masuk tolong lah di perbaiki aplikasi nya sulit sekali kalu mau di akses,-4.5,Negatif,MATCH,
4528,sandi thew,1,2026-08-08,ga niat bikin aplikasi,tidak niat bikin aplikasi,0,Netral,MATCH,
4529,Jerry Jordan,1,2026-08-08,"aplikasi sampah mau daftar saja susah, pulsa ku di kuras, tapi kode OTP nya ga di kirim kirim, parahhh",aplikasi sampah mau daftar saja sulit pulsa ku di kuras tapi kode otp nya tidak di kirim kirim buruk,-9.5,Negatif,MATCH,
4530,Pii,1,2026-08-08,Kok tbtb jadi tidak kompatibel? padahal dihp satunya punya ayahku dengan kesamaan yang sama dengan hpku malah bisa???,kok tbtb jadi tidak kompatibel padahal dihp satunya punya ayahku dengan kesamaan yang sama dengan hpku malah bisa,0,Netral,MATCH,
4531,Sidiq Amrillah,1,2026-08-08,"jelek.. susah bikin akun baru , yang tambah bikin buruk daftar kontrol harus pakai apk jelek ini",buruk sulit bikin akun baru yang tambah bikin buruk daftar kontrol harus pakai aplikasi buruk ini,-11.5,Negatif,MATCH,
4532,Chanciel 17,2,2026-08-08,"INI KENAPA YA NOMOR YANG DI PAKE REGIS GA MASUK""PESAN KODE NYA??? DI NIK SUAMI G BISA DI NIK KU JUGA ENGGA?? TERUS PAKE ACARA GA BISA NGIRIM PESAN KALO G ADA PULSA????",ini kenapa ya nomor yang di pake regis tidak masuk pesan kode nya di nik suami g bisa di nik ku juga engga terus pake acara tidak bisa ngirim pesan kalo g ada pulsa,0,Netral,MATCH,
4533,Zona Frys,4,2026-08-08,"Dengan Hadirnya Mobile JKN, Pelayanan Kesehatan jadi Semakin Mudah.",dengan hadirnya mobile jkn pelayanan kesehatan jadi semakin mudah,2.5,Positif,MATCH,
4534,Tina Karen,5,2026-08-08,ok,ok,1.5,Positif,MATCH,
4535,Isti Komah,5,2026-08-08,bagus,bagus,2,Positif,MATCH,
4536,Curve Line,5,2026-08-08,Tadi saya ubah lokasi faskes BPJS saya dan berhasil di aplikasi mobile JKNnya. Tapi belum dicoba untuk berobat ke lokasi faskesnya karena sekarang lagi tidak sakit. Mudah-mudahan berhasil,tadi saya ubah lokasi faskes bpjs saya dan berhasil di aplikasi mobile jknnya tapi belum dicoba untuk berobat ke lokasi faskesnya karena sekarang lagi tidak sakit mudah-mudahan berhasil,4,Positif,MATCH,
4537,ubaidi iz,5,2026-08-08,mantap,mantap,3,Positif,MATCH,
4538,Karsandi Andi,5,2026-08-08,mantap 😍👍🏻👍🏻,mantap,3,Positif,MATCH,
4539,Sunarsih Aci,5,2026-08-08,memudhkan pelayanan,memudhkan pelayanan,0,Netral,MATCH,
4540,Chi Ci,5,2026-08-08,lebih praktis saat ambil antrean,lebih praktis saat ambil antrean,2.5,Positif,MATCH,
